ID Provincia,Nombre Provincia,ID Distrito,Nombre Distrito,Año de Referencia,Fuente,Valor,Unidad de Medida
9,VERAGUAS,2,CALOBRE,2023,Censos de Población y Vivienda Década 2020,170.0,dólares
6,HERRERA,3,LOS POZOS,2023,Censos de Población y Vivienda Década 2020,300.0,dólares
6,HERRERA,4,OCÚ,2023,Censos de Población y Vivienda Década 2020,375.0,dólares
6,HERRERA,5,PARITA,2023,Censos de Población y Vivienda Década 2020,520.0,dólares
6,HERRERA,6,PESÉ,2023,Censos de Población y Vivienda Década 2020,433.0,dólares
6,HERRERA,7,SANTA MARÍA,2023,Censos de Población y Vivienda Década 2020,550.0,dólares
7,LOS SANTOS,1,GUARARÉ,2023,Censos de Población y Vivienda Década 2020,550.0,dólares
7,LOS SANTOS,2,LAS TABLAS,2023,Censos de Población y Vivienda Década 2020,628.0,dólares
7,LOS SANTOS,3,LOS SANTOS,2023,Censos de Población y Vivienda Década 2020,600.0,dólares
7,LOS SANTOS,4,MACARACAS,2023,Censos de Población y Vivienda Década 2020,360.0,dólares
7,LOS SANTOS,5,PEDASÍ,2023,Censos de Población y Vivienda Década 2020,500.0,dólares
7,LOS SANTOS,6,POCRÍ,2023,Censos de Población y Vivienda Década 2020,300.0,dólares
7,LOS SANTOS,7,TONOSÍ,2023,Censos de Población y Vivienda Década 2020,390.0,dólares
8,PANAMÁ,2,BALBOA,2023,Censos de Población y Vivienda Década 2020,200.0,dólares
8,PANAMÁ,5,CHEPO,2023,Censos de Población y Vivienda Década 2020,433.0,dólares
8,PANAMÁ,6,CHIMÁN,2023,Censos de Población y Vivienda Década 2020,141.5,dólares
8,PANAMÁ,8,PANAMÁ,2023,Censos de Población y Vivienda Década 2020,800.0,dólares
8,PANAMÁ,10,SAN MIGUELITO,2023,Censos de Población y Vivienda Década 2020,800.0,dólares
8,PANAMÁ,11,TABOGA,2023,Censos de Población y Vivienda Década 2020,400.0,dólares
13,PANAMÁ OESTE,1,ARRAIJÁN,2023,Censos de Población y Vivienda Década 2020,766.0,dólares
9,VERAGUAS,3,CAÑAZAS,2023,Censos de Población y Vivienda Década 2020,100.0,dólares
9,VERAGUAS,4,LA MESA,2023,Censos de Población y Vivienda Década 2020,240.0,dólares
